fn	m	m3	w_c	w_a	why_c	why_a	because_c	because_a
Lara/021103.cha	35.1	33.0	3508	7019	15	7	8	16
Lara/021104.cha	35.13333333333333	33.0	3074	5421	4	8	8	12
Lara/021109.cha	35.3	33.0	956	2127	1	6	3	5
Lara/021110.cha	35.333333333333336	33.0	2334	6256	10	14	3	21
Lara/021111.cha	35.36666666666667	33.0	1696	4565	7	5	0	11
Lara/021120.cha	35.666666666666664	33.0	2816	5579	18	8	5	24
Lara/021121.cha	35.7	33.0	422	1539	0	1	1	4
Lara/021122.cha	35.733333333333334	33.0	462	1024	0	3	0	4
Lara/021124.cha	35.8	33.0	600	2000	1	2	0	2
Lara/021125.cha	35.833333333333336	33.0	3100	6098	14	8	11	23
Lara/030000.cha	36.0	36.0	657	3380	0	2	2	6
Lara/030001.cha	36.03333333333333	36.0	1179	2682	2	4	2	4
Lara/030002.cha	36.06666666666667	36.0	2555	4878	17	7	4	18
Lara/030006.cha	36.2	36.0	2671	7046	1	8	8	13
Lara/030008.cha	36.266666666666666	36.0	199	499	0	1	1	0
Lara/030009.cha	36.3	36.0	1637	2145	4	3	3	6
Lara/030010.cha	36.333333333333336	36.0	2908	5757	6	10	9	18
Lara/030011.cha	36.36666666666667	36.0	685	1709	1	0	4	1
Lara/030015.cha	36.5	36.0	793	1402	1	9	0	3
Lara/030016.cha	36.53333333333333	36.0	3630	6479	6	19	12	17
Lara/030029.cha	36.96666666666667	36.0	6056	12034	21	18	13	33
Lara/030112.cha	37.4	36.0	4783	10252	13	15	14	31
Lara/030113.cha	37.43333333333333	36.0	3024	5669	19	12	3	16
Lara/030114.cha	37.46666666666667	36.0	1848	3536	5	3	5	10
Lara/030116.cha	37.53333333333333	36.0	317	678	1	2	1	5
Lara/030122.cha	37.733333333333334	36.0	2924	6041	6	13	9	19
Lara/030123.cha	37.766666666666666	36.0	3428	3873	16	8	15	15
Lara/030125.cha	37.833333333333336	36.0	2014	3416	2	7	5	8
Lara/030126.cha	37.86666666666667	36.0	2508	3280	7	7	13	11
Lara/030204.cha	38.13333333333333	36.0	5325	7678	18	21	12	23
Lara/030211.cha	38.36666666666667	36.0	2776	4995	11	14	12	13
Lara/030218.cha	38.6	36.0	3168	5616	9	9	12	13
Lara/030219.cha	38.63333333333333	36.0	4551	6673	13	19	7	12
Lara/030224.cha	38.8	36.0	1791	2761	4	14	11	8
Lara/030309.cha	39.3	39.0	1670	2633	9	1	2	9
Lara/030310.cha	39.333333333333336	39.0	1574	2700	3	4	3	5
Lara/030315.cha	39.5	39.0	2245	3876	4	6	4	8
Lara/030316.cha	39.53333333333333	39.0	835	1319	7	2	4	8
Lara/030322.cha	39.733333333333334	39.0	4112	6487	10	11	14	16
Lara/030325.cha	39.833333333333336	39.0	1045	1844	10	7	0	13
