fn	m	m3	w_c	w_a	why_c	why_a	because_c	because_a
Wells/Frances/020603.cha	30.1	30.0	332	841	0	1	0	1
Wells/Frances/020830.cha	33.0	33.0	387	592	0	1	0	1
Wells/Frances/021128.cha	35.93333333333333	33.0	812	409	0	0	0	1
Wells/Frances/030300.cha	39.0	39.0	968	754	0	1	0	1
Wells/Frances/030600.cha	42.0	42.0	915	279	0	0	0	0
Wells/Frances/041008.cha	58.266666666666666	57.0	955	628	1	0	1	0
Wells/Gary/010600.cha	18.0	18.0	229	1019	0	1	0	2
Wells/Gary/010902.cha	21.066666666666666	21.0	352	1713	0	1	0	1
Wells/Gary/020004.cha	24.133333333333333	24.0	406	1132	0	1	0	2
Wells/Gary/020304.cha	27.133333333333333	27.0	588	1561	0	2	0	0
Wells/Gary/020603.cha	30.1	30.0	825	1295	0	0	0	0
Wells/Gary/020905.cha	33.166666666666664	33.0	815	556	1	0	0	0
Wells/Gary/030004.cha	36.13333333333333	36.0	1026	996	0	0	0	0
Wells/Gary/030303.cha	39.1	39.0	574	797	1	0	0	2
Wells/Gary/030525.cha	41.833333333333336	39.0	1213	617	5	0	2	0
Wells/Gary/040900.cha	57.0	57.0	1269	1312	3	2	14	4
Wells/Gavin/010621.cha	18.7	18.0	496	595	0	0	0	0
Wells/Gavin/010904.cha	21.133333333333333	21.0	451	523	0	0	0	1
Wells/Gavin/011130.cha	24.0	24.0	666	708	1	0	0	0
Wells/Gavin/020404.cha	28.133333333333333	27.0	628	867	4	0	0	2
Wells/Gavin/021005.cha	34.166666666666664	33.0	606	439	2	0	0	0
Wells/Gavin/030006.cha	36.2	36.0	625	817	0	0	0	1
Wells/Gavin/030319.cha	39.63333333333333	39.0	772	757	0	1	0	1
Wells/Gavin/030727.cha	43.9	42.0	898	579	2	0	0	1
Wells/Gavin/040918.cha	57.6	57.0	1127	2487	0	0	1	4
Wells/Geoffrey/010600.cha	18.0	18.0	161	1244	0	0	0	3
Wells/Geoffrey/010906.cha	21.2	21.0	275	1329	0	1	0	3
Wells/Geoffrey/020229.cha	26.966666666666665	24.0	242	497	0	1	0	1
Wells/Geoffrey/020529.cha	29.966666666666665	27.0	650	1153	3	0	0	3
Wells/Geoffrey/020904.cha	33.13333333333333	33.0	453	2054	6	6	0	10
Wells/Geoffrey/030012.cha	36.4	36.0	445	1552	5	0	0	4
Wells/Geoffrey/030309.cha	39.3	39.0	998	963	8	2	1	2
Wells/Geoffrey/030611.cha	42.36666666666667	42.0	545	896	0	0	1	0
Wells/Geoffrey/041122.cha	59.733333333333334	57.0	990	3045	0	0	0	3
Wells/Gerald/010606.cha	18.2	18.0	293	1480	0	1	0	2
Wells/Gerald/010829.cha	20.966666666666665	18.0	641	1435	0	0	0	3
Wells/Gerald/020015.cha	24.5	24.0	602	828	0	0	0	1
Wells/Gerald/020305.cha	27.166666666666668	27.0	944	1790	0	7	3	3
Wells/Gerald/020605.cha	30.166666666666668	30.0	703	987	1	1	0	2
Wells/Gerald/020901.cha	33.03333333333333	33.0	597	1002	0	1	0	0
Wells/Gerald/021126.cha	35.86666666666667	33.0	580	715	0	0	1	0
Wells/Gerald/030500.cha	41.0	39.0	916	1010	4	5	2	2
Wells/Gerald/040905.cha	57.166666666666664	57.0	1446	2380	3	1	3	7
Wells/Harriet/010602.cha	18.066666666666666	18.0	181	1625	0	0	0	5
Wells/Harriet/010901.cha	21.033333333333335	21.0	133	1249	0	5	0	3
