fn	m	m3	w_c	w_a	why_c	why_a	because_c	because_a
Thomas/020401.cha	28.033333333333335	27.0	1568	4753	0	0	0	11
Thomas/020402.cha	28.066666666666666	27.0	1582	6122	0	2	0	12
Thomas/020403.cha	28.1	27.0	1835	5813	0	6	0	15
Thomas/020406.cha	28.2	27.0	1632	4217	0	1	0	19
Thomas/020407.cha	28.233333333333334	27.0	1711	5589	0	0	0	22
Thomas/020408.cha	28.266666666666666	27.0	1669	4769	0	2	0	8
Thomas/020409.cha	28.3	27.0	1646	5831	0	3	0	13
Thomas/020410.cha	28.333333333333332	27.0	1619	5181	0	4	0	12
Thomas/020413.cha	28.433333333333334	27.0	1982	6158	0	5	0	13
Thomas/020414.cha	28.466666666666665	27.0	1970	6293	0	3	0	24
Thomas/020415.cha	28.5	27.0	1851	6317	0	7	0	23
Thomas/020416.cha	28.533333333333335	27.0	1837	5655	0	2	0	32
Thomas/020417.cha	28.566666666666666	27.0	2285	6445	0	4	1	27
Thomas/020420.cha	28.666666666666668	27.0	1554	5333	0	2	0	14
Thomas/020421.cha	28.7	27.0	1472	7196	0	3	0	21
Thomas/020422.cha	28.733333333333334	27.0	1603	5427	0	1	0	27
Thomas/020423.cha	28.766666666666666	27.0	1566	6308	0	4	0	28
Thomas/020424.cha	28.8	27.0	2246	5071	0	2	0	9
Thomas/020427.cha	28.9	27.0	2059	7344	0	3	0	22
Thomas/020428.cha	28.933333333333334	27.0	1706	6621	0	3	0	28
Thomas/020429.cha	28.966666666666665	27.0	1356	6034	0	3	0	30
Thomas/020430.cha	29.0	27.0	1121	5646	0	4	0	22
Thomas/020500.cha	29.0	27.0	1602	6009	0	4	0	16
Thomas/020503.cha	29.1	27.0	1726	5832	0	2	0	20
Thomas/020504.cha	29.133333333333333	27.0	1686	5746	0	3	0	24
Thomas/020505.cha	29.166666666666668	27.0	1133	3635	0	1	0	9
Thomas/020506.cha	29.2	27.0	1667	5512	0	3	0	7
Thomas/020507.cha	29.233333333333334	27.0	2215	6252	0	5	0	19
Thomas/020510.cha	29.333333333333332	27.0	1399	4643	0	3	0	18
Thomas/020511.cha	29.366666666666667	27.0	1495	5687	0	4	0	30
Thomas/020514.cha	29.466666666666665	27.0	1864	5547	0	3	0	9
Thomas/020515.cha	29.5	27.0	1190	5160	0	3	0	15
Thomas/020516.cha	29.533333333333335	27.0	1133	6397	0	3	0	31
Thomas/020518.cha	29.6	27.0	1721	7139	0	2	0	31
Thomas/020519.cha	29.633333333333333	27.0	1610	6611	0	14	0	24
Thomas/020520.cha	29.666666666666668	27.0	203	784	0	1	0	4
Thomas/020521.cha	29.7	27.0	1319	5212	0	1	0	21
Thomas/020525.cha	29.833333333333332	27.0	1719	7140	0	2	0	22
Thomas/020528.cha	29.933333333333334	27.0	1718	5349	0	5	0	12
Thomas/020529.cha	29.966666666666665	27.0	1092	5205	0	2	0	14
Thomas/020600.cha	30.0	30.0	1027	4871	0	0	0	24
Thomas/020601.cha	30.033333333333335	30.0	1207	5504	0	5	0	16
Thomas/020602.cha	30.066666666666666	30.0	1617	5827	0	2	0	18
Thomas/020605.cha	30.166666666666668	30.0	2069	5240	0	3	0	11
Thomas/020608.cha	30.266666666666666	30.0	1892	5797	0	5	0	19
Thomas/020609.cha	30.3	30.0	1382	6291	0	4	0	21
Thomas/020610.cha	30.333333333333332	30.0	1833	6432	0	2	0	23
Thomas/020612.cha	30.4	30.0	2053	6349	0	7	0	24
Thomas/020616.cha	30.533333333333335	30.0	1003	4273	0	3	0	9
Thomas/020617.cha	30.566666666666666	30.0	842	3045	0	4	0	8
Thomas/020618.cha	30.6	30.0	1803	5506	0	4	0	11
Thomas/020619.cha	30.633333333333333	30.0	1359	4618	0	2	0	15
Thomas/020620.cha	30.666666666666668	30.0	1552	6030	0	4	0	22
Thomas/020622.cha	30.733333333333334	30.0	1856	6182	0	2	0	13
Thomas/020623.cha	30.766666666666666	30.0	1695	6398	0	11	0	22
Thomas/020624.cha	30.8	30.0	1386	5536	0	5	0	21
Thomas/020625.cha	30.833333333333332	30.0	2583	4807	0	6	0	12
