fn	m	m3	w_c	w_a	why_c	why_a	because_c	because_a
Belfast/Rachel/020525.cha	29.833333333333332	27.0	214	4176	2	4	0	18
Belfast/Rachel/020610.cha	30.333333333333332	30.0	95	3265	0	2	0	8
Belfast/Rachel/020727.cha	31.9	30.0	710	4622	2	2	0	16
Belfast/Rachel/020830.cha	33.0	33.0	1338	5805	0	5	5	19
Belfast/Rachel/020902.cha	33.06666666666667	33.0	1929	3345	2	5	8	6
Belfast/Rachel/020916.cha	33.53333333333333	33.0	429	746	0	2	2	0
Belfast/Rachel/021100.cha	35.0	33.0	1440	6306	0	7	2	10
Belfast/Rachel/030203.cha	38.1	36.0	647	7525	0	2	3	40
Belfast/Stuart/030512.cha	41.4	39.0	349	2939	0	1	0	11
Belfast/Stuart/030624.cha	42.8	42.0	776	3951	0	1	2	11
Belfast/Stuart/030720.cha	43.666666666666664	42.0	1388	3833	0	3	8	8
Belfast/Stuart/030826.cha	44.86666666666667	42.0	4192	4324	4	4	5	2
Belfast/Stuart/031002.cha	46.06666666666667	45.0	1499	6854	1	4	4	12
Belfast/Stuart/031014.cha	46.46666666666667	45.0	3003	7547	1	6	9	10
Belfast/Stuart/031016.cha	46.53333333333333	45.0	1975	3082	5	6	3	2
Belfast/Stuart/040106.cha	49.2	48.0	1000	3997	2	13	10	5
Belfast/Stuart/040401.cha	52.03333333333333	51.0	1120	1371	0	4	3	3
Belfast/Stuart/040404.cha	52.13333333333333	51.0	3145	3267	7	13	17	4
Belfast/Stuart/040504.cha	53.13333333333333	51.0	1598	2806	4	12	3	5
